m.z. export,Name
m.z.1136.397,(GlcNAc)3 (Man)3 (Asn)1
m.z.1175.372,glycogen
m.z.1257.424,(GlcNAc)2 (Man)5 (Asn)1
m.z.1337.423,glycogen
m.z.1339.478,(GlcNAc)4 (Man)3 (Asn)1
m.z.1499.475,glycogen
m.z.1542.554,(GlcNAc)5 (Man)3 (Asn)1
m.z.1905.634,(GlcNAc)2 (Man)9 (Asn)1
